Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.83,2.37,1.62,1.083,G8III/IV,15.703741,Giant
5.15,5.75,0.71,1.293,K1III,13.948339,Dwarf
8.44,5.38,1.08,0.397,F3V,17.09391,Giant
9.07,0.86,1.46,1.72,M2III:,13.742492,Dwarf
7.7,2.78,0.67,0.675,A7:V+...,14.920224,Giant
8.04,6.35,1.04,0.233,A3III/IV,17.053867,Giant
8.01,1.03,1.19,1.073,K0III,13.074186,Dwarf
7.97,6.46,0.66,1.18,K3III,17.021162,Dwarf
8.72,3.31,0.74,0.043,A2V,16.31914,Giant
9.14,6.38,1.27,0.777,G5IV/V,18.164104,Giant
7.11,8.59,1.39,0.406,F0V,16.779966,Giant
6.28,4.18,0.54,1.008,G8II,14.385881,Dwarf
9.26,11.01,0.95,0.675,G3/G5IV/V,19.468937,Giant
7.17,5.08,0.79,1.352,K4III,15.699319,Dwarf
9.48,9.61,1.91,0.498,F3V,19.393616,Giant
7.69,2.72,0.86,1.492,K5III,14.862844,Dwarf
9.37,8.22,1.08,0.578,F7V,18.944359,Giant
8.82,6.55,1.16,0.486,F3/F5V,17.901207,Giant
9.15,3.06,1.16,0.147,B8V,16.578606,Giant
8.52,2.55,0.98,1.116,K1III,15.552701,Dwarf
8.9,6.59,0.77,0.467,F5V,17.994427,Giant
8.09,0.6,1.07,-0.117,B5III,11.980757,Dwarf
8.97,10.21,0.86,0.655,G3V,19.01513,Giant
5.18,36.46,0.51,0.495,F7V,17.989084,Giant
7.78,20.49,0.81,0.641,G1/G2IV/V,19.337711,Giant
8.58,3.38,1.29,1.535,M2III,16.224583,Dwarf
5.74,3.96,0.71,-0.16,B5IV,13.728476,Giant
9.13,4.5,1.26,0.065,A0/A1IV,17.396063,Giant
5.27,9.85,0.56,-0.078,B8/B9V,15.237181,Giant
2.83,9.79,0.81,-0.19,B2IV,12.783914,Giant
8.08,6.46,1.01,0.246,B9V,17.131163,Giant
9.23,7.88,0.91,0.496,F6V,18.712631,Giant
6.65,6.35,0.65,0.775,G6:III+...,15.663868,Dwarf
6.43,3.82,0.83,-0.058,B8V,14.340317,Giant
5.37,2.95,0.93,0.495,F2/F3II/III,12.7191105,Dwarf
9.3,10.28,1.33,0.538,F3/F5V,19.359966,Giant
7.83,3.48,1.2,1.05,K0III,15.537896,Dwarf
7.76,3.15,1.19,0.791,G2III/IV,15.251553,Giant
11.95,15.18,3.07,1.106,K7V:,22.856358,Giant
8.2,3.81,1.52,0.621,G0V,16.104626,Giant
8.9,5.51,1.05,0.497,F5V,17.605759,Giant
6.59,6.93,0.73,-0.023,B9.5V,15.793667,Giant
9.06,44.0,1.93,1.203,K4V,22.277264,Giant
7.15,7.79,0.6,0.068,A1V,16.607687,Giant
5.28,9.61,0.89,0.058,A3V,15.193617,Giant
10.06,3.8,1.02,0.716,F8IV/V,17.95892,Giant
7.9,0.91,0.9,-0.149,B3V,12.695208,Giant
6.14,6.72,0.85,-0.078,B6/B7V,15.276846,Giant
7.85,4.86,0.93,0.093,A1V,16.28318,Giant
5.89,25.12,0.56,0.482,F6Vasv,17.890099,Giant
8.13,6.54,1.0,0.451,F3IV/V,17.20789,Giant
9.36,8.38,1.33,0.692,G6V,18.97622,Giant
8.44,9.26,0.79,0.533,F6V,18.273056,Giant
9.13,12.93,1.4,0.652,G5V,19.687992,Giant
9.5,4.67,0.83,0.45,F3V,17.846584,Giant
8.3,4.52,1.17,1.381,K1II-III,16.575691,Dwarf
8.86,5.39,3.3,0.697,G2V,17.517944,Giant
7.35,2.49,0.89,0.364,B8V,14.3309965,Giant
6.74,13.84,0.51,0.227,A5V,17.44568,Giant
6.31,4.47,0.76,0.011,A0Vn,14.561537,Giant
7.77,-0.07,0.89,0.247,B1Vn...,6.99549,Giant
9.01,2.04,1.28,0.306,B2Ib/II,15.558151,Dwarf
6.06,32.04,0.75,0.527,F8V,18.588463,Giant
10.2,7.83,1.8,0.567,G3V,19.668808,Giant
5.34,1.27,0.82,-0.188,B1IV,10.859018,Giant
9.46,15.07,1.36,0.689,G5V,20.350567,Giant
8.39,2.32,0.73,0.249,A7IV/V,15.21744,Giant
7.57,34.73,3.83,0.702,G5/G6V,20.273523,Giant
8.97,8.6,1.19,0.463,F0V,18.642494,Giant
8.03,6.32,1.68,0.1,A1V,17.033585,Giant
7.86,1.33,1.07,1.477,K2IV,13.479259,Giant
8.85,1.6,0.92,0.067,A0Vn,14.870601,Giant
8.9,-1.88,1.1,0.4,B0.5V,15.270789,Giant
5.93,14.6,0.83,0.082,A1V,16.751764,Giant
8.06,0.73,1.36,0.066,B9/B9.5II/I,12.376615,Dwarf
6.7,4.11,0.59,1.355,K3III,14.769209,Dwarf
9.25,2.54,1.04,0.371,F0V,16.274168,Giant
9.25,27.82,1.45,0.915,K4V,21.471786,Giant
9.04,8.39,0.85,0.457,F3IV,18.65881,Giant
8.26,1.84,0.96,0.271,A0III/IV,14.584089,Giant
6.2,23.54,0.76,0.482,F5V,18.059032,Giant
7.01,14.04,1.14,0.625,G0V,17.746836,Giant
9.07,6.47,0.98,0.536,F7V,18.124521,Giant
7.27,11.35,0.62,0.409,F5IV,17.544981,Giant
5.76,122.75,1.41,0.88,K0V,21.205109,Giant
7.78,6.49,1.0,0.496,F5V,16.841223,Giant
8.59,2.95,1.23,0.796,A0V+...,15.93911,Giant
8.2,5.3,1.01,-0.008,B9.5V,16.821379,Giant
6.57,7.37,0.57,1.122,K1III,15.907337,Dwarf
8.5,4.25,1.08,0.49,F6IV,16.641945,Giant
7.29,45.76,0.72,0.804,G9IV-V,20.59243,Giant
9.21,4.42,0.84,0.817,G8IV,17.43711,Giant
8.01,3.16,0.6,0.095,A1IV/V,15.508436,Giant
6.47,4.01,0.97,1.393,K2III,14.485722,Dwarf
8.49,12.14,1.19,0.719,G5IV,18.911095,Giant
7.86,6.67,1.21,1.05,K0IV,16.980629,Giant
8.31,3.61,0.97,0.385,F2V,16.097538,Giant
9.37,7.98,1.75,0.727,G3V,18.880014,Giant
8.27,13.78,0.79,0.672,G3/G5V,18.966248,Giant
6.32,6.92,0.74,1.115,K2III,15.520531,Dwarf
8.68,9.1,1.12,0.466,F2V,18.475208,Giant
7.52,27.62,0.59,0.655,G5V,19.726118,Giant
8.16,7.63,0.92,0.393,F2V,17.572622,Giant
9.24,1.6,1.16,0.37,F3IV,15.2606,Giant
9.48,2.73,1.53,0.979,K0V,16.660812,Giant
7.21,3.38,0.91,1.53,K3/K4III,14.854584,Dwarf
5.24,6.89,0.82,-0.117,B8/B9III,14.431095,Dwarf
9.46,8.92,1.33,0.585,F8IV,19.211824,Giant
8.5,4.28,0.77,-0.024,B9.5V,16.657219,Giant
7.81,4.58,0.82,0.098,A1V,16.114328,Giant
9.0,9.06,1.18,0.542,F6/F7V,18.78564,Giant
8.88,0.56,0.96,0.23,A3V,12.62094,Giant
8.56,4.15,0.88,0.095,A0V,16.650242,Giant
8.68,7.13,1.05,0.38,F0V,17.945448,Giant
7.54,6.2,0.84,0.119,A1V,16.501957,Giant
6.73,3.55,0.77,1.508,K4II-III,14.481142,Dwarf
8.78,3.06,1.36,1.143,K0II/III,16.208607,Dwarf
9.66,25.17,1.38,1.027,K3V,21.664415,Giant
7.55,3.07,1.06,1.05,G8II/III,14.985692,Dwarf
8.37,34.99,1.01,0.815,K1V,21.089718,Giant
7.21,2.2,0.61,-0.146,B3IV,13.922113,Giant
7.55,1.42,0.74,0.015,B3III,13.311441,Dwarf
11.25,5.2,2.16,0.533,G4III,19.830017,Dwarf
7.14,5.93,1.03,0.053,A0V,16.005274,Giant
8.21,7.98,1.27,0.279,A8/A9V,17.720015,Giant
5.37,9.32,1.38,0.182,A5V,15.217079,Giant
7.68,6.11,1.01,0.099,A2V,16.610207,Giant
8.76,4.95,1.07,1.134,K1III,17.233025,Dwarf
7.56,8.97,0.64,0.379,F0V,17.323961,Giant
10.45,8.27,1.75,0.394,G1V,20.037527,Giant
9.16,7.28,0.86,0.464,F5V,18.470657,Giant
8.83,0.91,1.31,0.046,B6V,13.625207,Giant
9.31,3.26,2.17,0.142,B5V,16.87609,Giant
9.8,12.81,5.81,0.665,G3V,20.337746,Giant
9.31,3.22,1.04,0.453,F3V,16.84928,Giant
8.59,5.9,0.76,0.185,A3V,17.44426,Giant
5.09,15.94,0.48,1.345,K5III,16.102442,Dwarf
8.99,3.8,0.91,0.997,K0III,16.888918,Dwarf
5.04,9.15,1.04,-0.014,B3V,14.847105,Giant
6.64,3.39,0.59,-0.014,A0Vs,14.290998,Giant
9.92,21.73,1.73,0.985,K2/K3V:,21.605299,Giant
8.1,3.14,0.6,0.043,A0V,15.584648,Giant
8.66,0.78,1.14,1.517,K2III,13.120473,Dwarf
8.24,3.36,0.87,1.289,K2III,15.871696,Dwarf
8.3,17.75,1.05,0.825,K0V,19.545994,Giant
5.2,11.55,0.67,-0.059,B9V,15.51291,Giant
7.52,17.87,0.97,0.612,G2IV,18.780622,Giant
7.86,0.59,0.66,1.57,K3III,11.71426,Dwarf
5.81,4.8,0.54,-0.133,B4V,14.216206,Giant
8.93,-1.15,3.16,1.044,G8III/IV,14.233489,Giant
6.09,27.18,4.3,0.632,G2V,18.261248,Giant
8.19,20.57,0.99,0.652,G3/G5V,19.756172,Giant
8.34,1.49,0.89,0.7,F8/G0III,14.205932,Dwarf
6.4,4.5,0.72,1.246,K1III/IV,14.666063,Giant
6.04,20.4,0.53,0.289,F0IV,17.58815,Giant
6.88,25.77,0.81,0.748,G8V,18.935574,Giant
10.97,8.94,4.58,0.58,G1V,20.726688,Giant
7.2,13.54,1.1,0.498,F5/F6V,17.858093,Giant
10.05,23.18,1.75,1.098,K2V,21.875568,Giant
8.97,2.16,1.11,0.964,G8IV,15.642269,Giant
8.41,5.25,1.15,0.421,F5V,17.010796,Giant
8.96,2.26,0.88,-0.057,B9V,15.730542,Giant
6.9,1.83,0.69,0.461,A0V+...,13.2122555,Giant
9.63,-2.87,1.83,0.385,F3IV,16.91941,Giant
10.04,7.95,1.64,0.716,G6V,19.541836,Giant
8.47,4.75,1.1,0.104,B9V,16.85347,Giant
9.03,16.64,1.14,0.592,G2V,20.135765,Giant
8.66,6.07,1.06,0.492,F6V,17.575943,Giant
6.29,9.58,0.94,-0.025,A0Vs,16.196827,Giant
9.74,5.68,1.42,0.84,G8V,18.511742,Giant
8.7,2.89,0.9,0.387,F2V,16.00449,Giant
8.52,8.97,1.11,0.532,F8III,18.283962,Dwarf
7.39,2.67,0.89,1.374,M4e-M6IIIA:e,14.522556,Dwarf
7.28,2.78,0.54,1.537,K5III,14.500225,Dwarf
8.85,1.8,0.76,1.353,K3III,15.126363,Dwarf
7.78,0.87,0.66,1.584,M4II/III,12.477596,Dwarf
7.45,10.37,0.83,0.352,F0IV/V,17.528893,Giant
9.07,5.57,1.42,0.556,F6V,17.799274,Giant
6.85,5.55,0.81,-0.027,B8.5Vn,15.571465,Giant
8.69,3.26,0.94,0.625,F0IV,16.256088,Giant
7.64,9.35,0.92,0.5,F5IV/V,17.494059,Giant
8.09,20.78,1.23,0.561,F8V,19.678228,Giant
6.62,17.17,0.71,0.333,F2V,17.79385,Giant
7.86,3.9,0.95,1.157,K2III,15.815323,Dwarf
9.22,7.05,1.59,0.617,G2/G3V,18.460945,Giant
10.31,1.21,1.56,0.47,F2/F3IV/V,15.7239275,Giant
7.72,10.94,1.24,0.418,F2/F3V,17.915085,Giant
8.26,11.77,0.98,0.668,G3IV/V,18.613882,Giant
6.24,23.49,0.8,0.585,F7V,18.094414,Giant
7.53,11.88,0.92,0.378,F3/F5IV/V,17.904083,Giant
9.45,17.69,1.4,0.81,K0V,20.68864,Giant
8.08,31.12,1.11,0.871,K1IV,20.545198,Giant
8.6,9.16,1.26,0.52,F5/F6V,18.409477,Giant
6.46,9.33,0.52,0.158,A4V,16.309408,Giant
8.46,3.94,1.14,0.541,F0V,16.43748,Giant
7.97,3.71,1.08,0.159,A0III/IV,15.81687,Giant
9.15,-0.77,0.8,0.871,F8IV,13.582453,Giant
5.69,6.56,0.5,-0.037,B9V,14.774519,Giant
7.09,15.9,0.94,0.4,F3V,18.096985,Giant
8.1,2.04,0.87,1.356,K0V,14.648151,Giant
8.57,13.66,1.04,0.584,G0V,19.247253,Giant
10.84,-2.64,2.05,0.387,F5Ib-II,17.94802,Dwarf
9.12,1.81,0.89,0.995,G6/G8IV,15.408392,Giant
7.88,3.39,1.52,0.581,F5/F6IV,15.530999,Giant
6.43,8.89,0.76,0.992,K1III,16.17451,Dwarf
8.43,6.07,1.0,0.389,F3IV/V,17.345943,Giant
8.16,2.42,0.76,1.17,K1IV,15.079077,Giant
8.59,4.51,0.98,1.044,G8/K0V,16.860882,Giant
7.59,2.06,0.59,1.677,K4/K5III,14.159336,Dwarf
9.85,11.01,1.62,0.721,G6Vp...,20.058937,Giant
7.79,6.93,0.97,0.173,A0V,16.993668,Giant
8.89,21.7,1.22,0.817,G8V,20.5723,Giant
6.59,3.16,0.85,0.078,A2IV,14.088436,Giant
8.26,0.37,0.96,-0.132,B2V,11.101009,Giant
6.83,19.49,0.82,0.553,F8IV,18.27906,Giant
8.45,0.11,0.95,-0.016,B8/B9V,8.656963,Giant
7.95,5.51,0.97,0.287,A7IV,16.655758,Giant
7.21,7.94,0.88,1.246,K3III,16.709103,Dwarf
7.57,7.94,1.03,0.163,A2V,17.069103,Giant
8.81,7.32,1.01,0.628,G6:IIIw...,18.132557,Dwarf
7.48,5.97,1.15,0.056,A0V,16.35987,Giant
8.05,3.82,1.05,0.125,A1/A2IV,15.960318,Giant
8.07,2.63,0.7,0.98,K0III,15.169779,Dwarf
9.73,4.19,1.17,0.653,F8/G0V,17.84107,Giant
8.01,2.65,0.69,1.458,K4III,15.12623,Dwarf
9.37,7.04,1.52,0.66,G0IV/V,18.607864,Giant
8.65,4.03,1.03,1.158,K1III,16.676525,Dwarf
7.32,5.76,0.62,0.22,A7V,16.122112,Giant
9.67,4.54,1.32,0.43,F2V,17.95528,Giant
8.61,19.41,0.8,0.626,G5V,20.050125,Giant
7.63,1.37,0.95,1.263,K2III,13.313602,Dwarf
8.09,10.87,0.68,0.518,F6/F7IV/V,18.271149,Giant
7.54,2.52,0.87,0.818,G6/G8IV,14.547003,Giant
6.44,27.5,0.5,0.593,G1V,18.636663,Giant
7.89,9.38,1.45,0.423,F5V,17.751013,Giant
9.04,14.59,1.33,0.67,G3V,19.860275,Giant
8.03,3.35,0.93,0.955,K1II,15.655224,Dwarf
5.68,1.06,0.54,0.233,A3Iab,10.806529,Dwarf
8.05,12.32,1.23,0.433,F2V,18.503054,Giant
7.9,1.58,0.84,0.998,K0III,13.893286,Dwarf
8.24,5.79,1.07,1.053,K1III/IV,17.053392,Giant
5.93,4.67,0.55,1.115,G8III,14.276585,Dwarf
8.08,2.17,1.19,0.044,B9V,14.762299,Giant
7.53,6.74,0.89,0.238,A4V,16.6733,Giant
8.55,11.37,1.41,0.463,F5V,18.828802,Giant
8.51,4.52,3.3,0.691,B5V,16.785692,Giant
7.71,2.89,1.01,1.492,K3III,15.01449,Dwarf
8.83,7.54,1.14,0.54,F6V,18.216856,Giant
9.57,4.76,0.94,0.504,F7V,17.958035,Giant
7.41,3.6,0.54,-0.031,B8V,15.191513,Giant
8.12,5.37,0.9,0.082,A0V,16.76987,Giant
9.25,19.52,0.83,0.831,K2V,20.702398,Giant
8.7,8.2,1.28,0.699,G1IV/V,18.26907,Giant
8.69,1.49,1.25,1.147,K1III,14.555931,Dwarf
8.61,2.6,0.68,1.13,K1/K2III,15.684866,Dwarf
7.93,4.3,0.94,0.054,A0V,16.097342,Giant
9.42,4.39,1.42,0.373,F0V,17.632322,Giant
8.71,-0.06,0.95,1.211,K1III,7.6007566,Dwarf
9.11,5.43,1.36,0.39,F2V,17.784,Giant
8.12,14.89,0.95,0.536,F6V,18.984474,Giant
3.66,7.33,1.01,-0.177,B2.5V,12.985519,Giant
7.53,-0.72,0.91,1.677,G5Ia,11.816663,Dwarf
8.23,4.41,1.1,0.986,G9III,16.452192,Dwarf
10.02,-1.63,19.1,1.34,K7V,16.080938,Giant
8.51,54.14,1.08,0.863,K1V...,22.177591,Giant
8.62,2.07,0.91,-0.043,B8V,15.199852,Giant
9.88,7.35,1.74,0.509,F5IV/V,19.211437,Giant
6.64,10.52,0.64,0.006,A0V,16.750078,Giant
10.14,5.62,1.38,0.585,F7/F8V,18.888683,Giant
7.64,2.61,0.99,1.662,K5III,14.723202,Dwarf
8.6,11.5,1.05,0.59,G0/G1V,18.903488,Giant
8.5,1.71,0.67,0.006,B9.5V,14.66498,Giant
7.29,8.03,0.93,0.103,A2V,16.813578,Giant
8.41,6.82,1.43,0.636,G0V,17.578922,Giant
9.18,7.77,3.9,0.609,G0V,18.632107,Giant
5.67,21.64,0.87,0.452,F5V,17.346287,Giant
8.75,2.07,1.95,0.021,A0V,15.329851,Giant
9.99,14.37,1.06,0.87,G8V,20.777285,Giant
9.13,5.58,1.24,0.364,F0V,17.86317,Giant
8.21,10.61,1.04,0.461,F6III,18.338577,Dwarf
7.89,23.88,0.98,0.635,G3V,19.780172,Giant
7.97,1.84,1.01,1.596,M5III,14.294088,Dwarf
8.26,2.31,0.79,-0.04,B9V,15.07806,Giant
8.63,3.07,1.32,1.102,G8III,16.065693,Dwarf
6.03,4.5,0.68,0.895,G8III,14.296062,Dwarf
8.88,16.24,1.26,0.542,F9V,19.93293,Giant
6.47,7.12,0.75,1.075,K1III,15.732399,Dwarf
4.82,8.11,1.07,1.483,K4III,14.365105,Dwarf
7.58,11.65,1.06,0.549,F7V,17.911629,Giant
9.01,13.79,1.23,0.575,G0V,19.70782,Giant
6.91,6.92,0.96,0.126,A0/A1V,16.11053,Giant
7.36,4.32,0.87,1.512,K5III,15.537418,Dwarf
8.5,1.54,0.77,0.056,B8V,14.437604,Giant
7.82,6.36,0.79,0.226,A6V,16.837286,Giant
7.36,3.4,1.08,1.225,K0III,15.017395,Dwarf
9.18,2.95,1.49,0.993,G8III,16.52911,Dwarf
6.09,4.48,0.51,0.007,B9III,14.34639,Dwarf
9.38,2.86,2.47,0.632,G0V,16.66183,Giant
8.39,4.27,0.94,0.39,F2III,16.542141,Dwarf
7.94,0.92,0.81,0.501,A9Iab:,12.75894,Dwarf
6.3,4.34,0.82,-0.016,B3Vnpe,14.487449,Giant
7.09,2.97,0.59,-0.032,B9V,14.453782,Giant
8.56,19.04,1.21,0.648,G8V,19.958336,Giant
8.56,6.63,0.72,0.34,F2IV,17.667568,Giant
9.16,3.34,1.55,0.356,F0IV/V,16.778732,Giant
9.07,3.23,1.02,1.144,G8III/IV,16.616013,Giant
8.09,18.56,0.62,0.578,F8V,19.43289,Giant
7.14,10.5,0.84,0.312,A9V,17.245945,Giant
9.31,6.51,1.2,0.226,A9V,18.377907,Giant
6.09,11.42,1.27,1.081,K0III,16.37833,Dwarf
7.53,2.01,1.37,0.903,G8/K0III,14.04598,Dwarf
8.03,3.45,0.75,-0.05,B8/B9III,15.719095,Dwarf
6.56,1.87,0.54,1.337,K2IIICN...,12.919209,Dwarf
9.98,5.65,1.61,0.773,G6/G8V,18.740242,Giant
8.83,3.1,1.93,0.16,B9III,16.286808,Dwarf
9.17,3.97,1.27,-0.104,B5V,17.163952,Giant
9.81,4.93,1.57,0.068,A0V,18.274235,Giant
6.78,6.84,0.53,0.194,A5V,15.95528,Giant
7.62,10.31,0.92,0.281,F0V,17.686295,Giant
9.37,0.82,2.2,0.2,B5II/III,13.939069,Dwarf
7.28,1.03,0.81,1.01,G5II,12.344187,Dwarf
8.89,0.6,1.61,0.861,K2/K3III+..,12.780757,Dwarf
7.58,5.04,0.58,0.45,F5IV/V,16.092152,Giant
3.69,4.14,0.81,1.154,K4II comp,11.775002,Dwarf
8.03,0.58,1.18,0.01,B8/B9III/IV,11.847139,Giant
7.93,13.17,0.82,0.532,F6V,18.52793,Giant
8.8,11.15,0.83,0.54,F7V,19.036373,Giant
8.36,4.62,1.03,1.09,K1III,16.683208,Dwarf
8.01,7.07,0.59,0.44,F4V,17.257097,Giant
8.36,7.15,2.31,0.48,F3V,17.63153,Giant
7.76,6.2,1.5,0.208,A2III,16.721958,Dwarf
8.86,2.13,0.87,0.267,A7V,15.501898,Giant
6.7,8.08,0.82,1.024,K0III,16.237057,Dwarf
8.11,4.8,1.04,0.056,A1V,16.516205,Giant
8.29,14.88,1.09,0.521,F5V,19.153015,Giant
8.68,4.35,1.03,1.129,G8III,16.872446,Dwarf
7.66,2.42,1.81,-0.079,B5V,14.579077,Giant
8.45,10.19,2.43,0.524,F6/F7V,18.490871,Giant
9.16,4.81,1.11,0.232,A2III,17.570724,Dwarf
8.75,0.97,0.82,0.22,B0IV,13.683859,Giant
8.39,6.19,2.42,0.502,A6V,17.348454,Giant
8.9,-1.03,1.22,1.267,K1III/IV,13.964186,Giant
8.64,2.84,1.27,0.316,A9V,15.906592,Giant
7.39,13.03,0.69,0.397,F2/F3IV/V,17.964722,Giant
8.81,6.26,1.26,0.946,G8/K0IV,17.792873,Giant
7.85,11.5,0.97,0.52,F5/F6V,18.153488,Giant
8.91,0.21,1.1,1.123,K0IIICN...,10.521096,Dwarf
8.06,0.79,0.74,0.039,B0Ib,12.548136,Dwarf
7.23,5.98,0.6,0.01,B9.5V,16.113506,Giant
5.79,10.95,0.85,0.203,A3V,15.987071,Giant
4.36,10.61,0.94,-0.079,B5III,14.488577,Dwarf
9.33,1.86,1.32,0.488,F5V,15.677565,Giant
9.52,11.49,1.34,0.594,G3/G5V,19.8216,Giant
8.63,3.82,1.13,0.077,A0V,16.540318,Giant
9.1,1.18,1.34,0.967,G8III,14.459411,Dwarf
11.38,34.1,7.62,1.456,M2V,24.043774,Giant
8.26,15.19,1.01,0.506,F6V,19.16779,Giant
8.27,1.0,1.04,0.962,G6/G8III,13.27,Dwarf
7.59,1.1,0.88,-0.105,B5III,12.796964,Dwarf
8.5,5.02,1.22,0.514,F7V:,17.00352,Giant
5.46,5.07,0.59,0.998,G8III,13.98504,Dwarf
5.57,13.37,0.78,0.002,A2V,16.200657,Giant
9.6,3.39,1.29,0.628,F6/F7V,17.251,Giant
7.66,1.51,0.88,-0.02,B9III,13.554885,Dwarf
9.65,5.94,1.12,0.475,F6/F7IV,18.518932,Giant
9.3,4.01,1.42,1.103,K1/K2III,17.315723,Dwarf
7.62,8.67,1.0,0.436,F2V,17.310095,Giant
8.96,1.22,1.54,1.463,K3V,14.3918,Giant
10.71,0.89,1.91,0.72,K3V,15.45695,Giant
5.18,3.45,0.73,-0.035,B2Vne,12.869095,Giant
8.94,4.32,1.43,0.866,F7V,17.117418,Giant
8.75,10.31,0.72,0.45,F5V,18.816294,Giant
7.55,2.5,0.68,1.513,K4III,14.5397005,Dwarf
9.36,11.55,1.45,0.646,G2V,19.672909,Giant
7.0,1.48,0.99,-0.057,B3V,12.851309,Giant
9.9,4.01,1.44,0.104,A4V,17.915722,Giant
8.48,10.74,1.17,0.445,F3V,18.635021,Giant
7.67,5.26,1.76,0.399,F3V,16.27493,Giant
8.25,10.55,0.84,0.415,F5/F6IV/V,18.366262,Giant
6.03,2.48,1.4,-0.117,B2Vnn,13.002258,Giant
9.23,5.18,2.47,0.534,F6V,17.801647,Giant
9.23,1.87,1.42,0.99,G8IV,15.589208,Giant
8.97,31.18,1.13,1.01,K5V,21.43938,Giant
8.51,9.86,0.75,0.416,F3V,18.479385,Giant
4.88,27.1,0.82,0.076,A0V,17.044846,Giant
7.17,77.95,0.53,0.935,K3V,21.629082,Giant
8.87,4.37,0.68,0.354,A9IV,17.072407,Giant
5.74,5.42,0.89,1.528,K5III,14.409996,Dwarf
8.27,12.42,1.16,0.546,F6V,18.740608,Giant
7.66,12.41,1.17,0.43,F3V,18.12886,Giant
7.01,9.61,0.98,0.33,F0V,16.923618,Giant
8.77,1.98,1.1,0.006,B6V,15.253326,Giant
10.21,11.48,2.79,0.975,K3V,20.509708,Giant
7.46,10.98,1.18,0.475,F3V,17.66301,Giant
8.64,10.3,1.02,0.471,F5V,18.704187,Giant
8.4,15.3,0.76,0.599,G1V,19.323456,Giant
7.6,6.63,0.95,0.193,A5IV,16.707567,Giant
8.54,1.87,1.04,0.01,B8V,14.899208,Giant
9.28,3.33,0.93,0.563,F7V,16.892221,Giant
9.46,5.13,1.12,0.529,F7V,18.010586,Giant
8.13,61.07,2.93,1.322,K5/M1V+K5,22.05914,Giant
7.52,13.03,0.79,0.443,F3/F5V,18.094723,Giant
9.3,6.51,0.9,0.381,F2V,18.367905,Giant
9.17,6.3,0.83,0.509,F5V,18.166702,Giant
7.74,1.53,0.66,-0.092,B3IV/V,13.663457,Giant
